Messages,Number_of_replies,message,num_reply,Message
I hate the 5 bus. Way too many fucking weirdos.,6,NA,NA,NA
Anybody up?,5,NA,NA,NA
Running on 4 hours sleep and some of that Pure Colombian.........coffee ama,4,NA,NA,NA
"I miss Oakland, in a week I'll be going back to Santa Cruz.",11,NA,NA,NA
I'm an Uber/Lyft driver who's not Gumball. AMA,9,NA,NA,NA
I'm no ones priority.No one checks up on me. thinks about me. No bonds that i can rely on. I wish i could find someone who will be able to break down walls. But want me for me.And i want them for them,13,NA,NA,NA
I sneezed and got boogies in my mouth :(,2,NA,NA,NA
I keep having wet dreams,13,NA,NA,NA
"Your favorite ""hole in the wall"" bar here in San Francisco?",7,NA,NA,NA
Albums that are   right now?,14,NA,NA,NA
Tumbleweed blowing through yak town,2,NA,NA,NA
Do girls actually sense when someone is lying to them?,11,NA,NA,NA
Cowboy bebop samurai champloo and dragon ball z all make me want to me a martial arts master,1,NA,NA,NA
I had a dream my lost husky came back :(,20,NA,NA,NA
Any good songs that heals up a broken heart?,20,NA,NA,NA
Yeah so this is why I don't go outside.,33,NA,NA,NA
"Hung out with a yikyak famous guy in Oakland today, I smoked weed he drank beer. His bike is sick",21,NA,NA,NA
When you decided to clean under the bed for once and find expired condoms,2,NA,NA,NA
Visiting from Hawaii any one wanna smoke and chill.  Leave manana!,7,NA,NA,NA
We know you're still out there Gumball. Show yourself! _,6,NA,NA,NA
Where's papi supreme?,3,NA,NA,NA
Never until today did I write someone a note telling them how much their parking skills suck.,5,NA,NA,NA
"Worst piece of shit company goes to OnTrac. They claim it was delivered but nothing is there and they can't contact the driver, they're just going to resend him to check my apt if it's still here",13,NA,NA,NA
Definitely feeling an earthquake right now.,7,NA,NA,NA
"Typical, BlaireWhite gets to debate Lacy Green's lying ass yet is unprepared to show her in detail the fabricated stats. Like TamiLaren they get chosen just for their fucking appearance & do shit jobs",0,NA,NA,NA
"Playaz club,wat up",3,NA,NA,NA
Can't wait for it to be 8,4,NA,NA,NA
"A girl who doesn't do anal, is no girl of mine",9,NA,NA,NA
Paying $50 for someone to take pictures of me holding their puppy for my tinder,8,NA,NA,NA
My shoes are sole mates,7,NA,NA,NA
I'm a little teapot short and stout,4,NA,NA,NA
Big little lies any good?,1,NA,NA,NA
What does a pussy feel like compared to a hole -gay guy,12,NA,NA,NA
Joe Garcia lost,2,NA,NA,NA
Dear girl working at Moff circulation desk: you brighten up my day,4,NA,NA,NA
"If I don't speak good English, how can I bang with American girls? Any advice will be appreciated, especially from girls here.",18,NA,NA,NA
"Duck, duck...",14,NA,NA,NA
ALL ABOARD THE DAB TRAIN *dabs*,16,NA,NA,NA
where are some good smoke spots not in SF besides fish ranch?,4,NA,NA,NA
I like a girl allot. She's a blast to hang out with. But she's a high class escort... Wtf?,9,NA,NA,NA
Sometimes I'm jealous of thirsty ass cucks cause they're just normal humans,4,NA,NA,NA
Alert: Trump's coming!,5,NA,NA,NA
I want  to eat some one out,7,NA,NA,NA
Anyone tryna smoke rn?,0,NA,NA,NA
Im so bored. jesus fuck,28,NA,NA,NA
Breaking my heart will do you no good.,8,NA,NA,NA
record-setting trans weightlifting champ Laurel Hubbard recently won and set record in the Australian International weightlifting competition.  Hubbard competed as a man before her transition as Gavin,6,NA,NA,NA
I love drinking orange soda,13,NA,NA,NA
"A girl that doesn't do anal, is no girl of mine!",22,NA,NA,NA
Quick where to get blindfolds,1,NA,NA,NA
Caffeines hell of a drug,3,NA,NA,NA
"If you walk around with crutches, it tells everyone that you are packing a huge pair of avocados. Just an FYI for the next time you see your sister and want to have sex with her.",3,NA,NA,NA
I'm tryna move to Iceland for personal reasons. Anyone got any advice?,4,NA,NA,NA
Wheres my sexy piu,23,NA,NA,NA
I just wanna F U C K ...,2,NA,NA,NA
Anybody planning to study abroad next academic yr through the SF State Exchange Program?,1,NA,NA,NA
Would you guys take $35/hr to intern at a small startup or $25/hr to intern at IBM?,11,NA,NA,NA
Let's blaze,10,NA,NA,NA
Isn't Trader Joe's supposed to be a cheap option? Why do some people call it bougie?,20,NA,NA,NA
I ate a hookers ass and now my butt tingles at night. Std?,1,NA,NA,NA
I'm here for business and have a freaking suite to myself! Anyone wanna come chill?,17,NA,NA,NA
Does anybody have a bug-out bag?,12,NA,NA,NA
"Omg, I have so much energy today. Early morning exercise was great",4,NA,NA,NA
What's there to do in Berkeley?,22,NA,NA,NA
Did the FB app took away the side bar? New update?,2,NA,NA,NA
Qwerr,0,NA,NA,NA
Where are good places to just chill and smoke with a drink? any smoke lounges or bars that let you smoke in berkeley?,2,NA,NA,NA
I wana f*ck every white guy that goes to uc Berkeley #THIRSTY,10,NA,NA,NA
I kinda like the smell of my cum. It's cumforting.,2,NA,NA,NA
SCHNEE IST WEISS,3,NA,NA,NA
MARCO....,3,NA,NA,NA
I just realized that the cute Asian chick that I have 3 classes with is actually 3 different people.,5,NA,NA,NA
Just noticed my dog has a bigger dick than me. That's not chill.,14,NA,NA,NA
The long awaited dopechick face reveal,8,NA,NA,NA
When she gives a bullshit excuse about not being ready yet but in reality is just meeting up with another dude before your date,3,NA,NA,NA
Uhhh I hate it when my mom pretends that she loves me and pretends to be nice to me but is a total bitch. And so is her mother,6,NA,NA,NA
My mom thinks I'm on drugs but the truth is I don't need drugs to be lazy and do poorly in school.,1,NA,NA,NA
"i voted for trump and am bitterly disappointed.  he doesn't understand what's happening.  he had no idea what was in the health care bill.  he threatened no voters, and they laughed at him.",3,NA,NA,NA
Bricks are domesticated rocks,5,NA,NA,NA
They say intelligent people have fewer friends so I guess that explains why I'm so lonely all the time.,15,NA,NA,NA
"Whatchu sayin' Audi, orgy is true love?",2,NA,NA,NA
"I just used a plastic razor and ""shave gel"" for the first time in my life. Horrible experience.",12,NA,NA,NA
"Instead of bashing what you hate, promote what you luv",22,NA,NA,NA
"if Trump had any BALLS, he'd fire Comey.  But he won't.  Trump has no BALLS.",18,NA,NA,NA
"Yikes. The Repubs have passed a bill overturning online privacy protections, & Trump is about to sign it. ISPs can now collect every bit of your data & sell anything to anyone...without your consent.",4,NA,NA,NA
My snack for rn,53,NA,NA,NA
I cringe whenever I look at my bank account balance,6,NA,NA,NA
CMON WARRIORS,24,NA,NA,NA
I have sunburn on my ballsack.,10,NA,NA,NA
Spicing up YY for the guy below me.,0,NA,NA,NA
Nap or workout?,5,NA,NA,NA
People say you shouldn't change for someone else. I want to change because I'm not happy with myself for pushing everyone out of my life. I'm changing to love again.,5,NA,NA,NA
"Yes, we make mistakes and sometimes we make the worse permanent mistakes we can't undo. Sometimes we regret it so much that we hate ourselves. Sometimes we ask ourselves why we didn't change earlier.",2,NA,NA,NA
I just want to love myself so I can get past my last relationship,1,NA,NA,NA
Yo this booty is on fiiiiiire whoaaa I wanna take a nap on it,0,NA,NA,NA
Soccer game next to AT&T Park.  It's going dowwwwwn,0,NA,NA,NA
I want to be a stay at home dad,5,NA,NA,NA
I hate the 5 bus. Way too many fucking weirdos.,6,NA,NA,NA
Hehe,0,NA,NA,NA
I'm an Uber/Lyft driver who's not Gumball. AMA,10,NA,NA,NA
Crazy how horny drinking makes me...,3,NA,NA,NA
I am addicted to gangbang porn,7,NA,NA,NA
"I miss Oakland, in a week I'll be going back to Santa Cruz.",11,NA,NA,NA
Just got all waxed down there. Anyone want to mess around with a fresh clean pair of hairless lips and cheeks?,11,NA,NA,NA
I sneezed and got boogies in my mouth :(,2,NA,NA,NA
"Just because someone isn't contoured & red lipped to high heaven doesn't mean she has no primer, foundation, concealer, lip tint, subtle highlight, brown pencil, powder, or mascara on. It takes a lot",9,NA,NA,NA
5am club,10,NA,NA,NA
Fucking lyft divers man...,2,NA,NA,NA
So I asked my girlfriend to smell my ass and then I farted in her face.,5,NA,NA,NA
"Your favorite ""hole in the wall"" bar here in San Francisco?",7,NA,NA,NA
Haaaaave you met Ted?,3,NA,NA,NA
Has someone ever told you they don't want to live with you anymore? How would you want he or she to tell you without getting too offended?,7,NA,NA,NA
Do girls actually sense when someone is lying to them?,11,NA,NA,NA
When you decided to clean under the bed for once and find expired condoms,2,NA,NA,NA
"Oh my God, I'm sick and tired of hearing about Russia. Fuck Russia.",5,NA,NA,NA
Any good songs that heals up a broken heart?,23,NA,NA,NA
Yeah so this is why I don't go outside.,44,NA,NA,NA
Where's papi supreme?,3,NA,NA,NA
Definitely feeling an earthquake right now.,7,NA,NA,NA
"Hung out with a yikyak famous guy in Oakland today, I smoked weed he drank beer. His bike is sick",21,NA,NA,NA
We know you're still out there Gumball. Show yourself! _,6,NA,NA,NA
"annoyed cause I'm working to turn in resume and job app that could turn my entire like around, but my mom is like ""can you go to sleep cause I can't sleep when you're up."" No???Wtf",8,NA,NA,NA
"Smhhhh I always make the first move, ask guys out and such but they never put in effort or make a pass at me. I need to find out what I'm doing wrong, I'm not ugly/smelly lol so what givessss",9,NA,NA,NA
Tumbleweed blowing through yak town,2,NA,NA,NA
My roommate snores so fucking loud wtf,12,NA,NA,NA
"Worst piece of shit company goes to OnTrac. They claim it was delivered but nothing is there and they can't contact the driver, they're just going to resend him to check my apt if it's still here",13,NA,NA,NA
The straight men in Berkeley are ugly,7,NA,NA,NA
Visiting from Hawaii any one wanna smoke and chill.  Leave manana!,8,NA,NA,NA
Cowboy bebop samurai champloo and dragon ball z all make me want to me a martial arts master,1,NA,NA,NA
"Piu making dopechick great again, but dopechick was never great in the first place.",1,NA,NA,NA
"If I don't speak good English, how can I bang with American girls? Any advice will be appreciated, especially from girls here.",18,NA,NA,NA
"Duck, duck...",14,NA,NA,NA
Can't wait for it to be 8,4,NA,NA,NA
Paying $50 for someone to take pictures of me holding their puppy for my tinder,8,NA,NA,NA
ALL ABOARD THE DAB TRAIN *dabs*,16,NA,NA,NA
Never until today did I write someone a note telling them how much their parking skills suck.,5,NA,NA,NA
I'm so in love with this guy but it's only been about a week? We've spent every day together since we met and sometimes I think he's really into me but sometimes eh? I just wanna make him happy. Help?,4,NA,NA,NA
"Typical, BlaireWhite gets to debate Lacy Green's lying ass yet is unprepared to show her in detail the fabricated stats. Like TamiLaren they get chosen just for their fucking appearance & do shit jobs",0,NA,NA,NA
My shoes are sole mates,7,NA,NA,NA
Theory: The people who act like nothing ever gets to them are just real good at pretend.,6,NA,NA,NA
Earliest I've ever woken up  so proud of meself,2,NA,NA,NA
Caffeines hell of a drug,3,NA,NA,NA
Soo does anything he else have the problem where all your family members treat you like shit and you tell a parent and they flat out deny it?,8,NA,NA,NA
Is giving nobody a chance worse that giving everyone a chance? Either way I feel like both would face a whole lot of pain.,3,NA,NA,NA
Do you ever blow your nose so hard that you're afraid that your eyeball is going to pop out?,3,NA,NA,NA
Joe Garcia lost,2,NA,NA,NA
"I just want someone who'll pay for snaps of my feet and send me funny but heartfelt cards on my birthday, is that too much to ask",5,NA,NA,NA
Alert: Trump's coming!,5,NA,NA,NA
Someone need to spice YY up it's been so boring lately,0,NA,NA,NA
Visiting from out of town and my friend who's house I was gonna stay at got a dui tonight and won't move out till tomorrow so I'm stuck sleeping in the car for the night.... Fucking suckssssss,11,NA,NA,NA
where are some good smoke spots not in SF besides fish ranch?,5,NA,NA,NA
Isn't Trader Joe's supposed to be a cheap option? Why do some people call it bougie?,20,NA,NA,NA
Swarm of bee's at solano community college . bring honey jars,0,NA,NA,NA
I'm a little teapot short and stout,4,NA,NA,NA
I love drinking orange soda,13,NA,NA,NA
I just wanna F U C K ...,11,NA,NA,NA
I wana f*ck every white guy that goes to uc Berkeley #THIRSTY,11,NA,NA,NA
What song should I sing at my sisters wedding??,55,NA,NA,NA
Anybody planning to study abroad next academic yr through the SF State Exchange Program?,3,NA,NA,NA
Anyone tryna smoke rn?,0,NA,NA,NA
I hate the person renovating their house nearby since I have to wake up to construction work every morning,0,NA,NA,NA
It's sad that the most common way to have sex with a female is to be a fuckboi.,0,NA,NA,NA
How do you guys feel about software engineers who can't remember their corporate passwords?,0,NA,NA,NA
Wheres my sexy piu,28,NA,NA,NA
I want  to eat some one out,7,NA,NA,NA
Not feeling today's windy ass weather,0,NA,NA,NA
Quick where to get blindfolds,2,NA,NA,NA
I'm here for business and have a freaking suite to myself! Anyone wanna come chill?,20,NA,NA,NA
Fuck you and your handle,2,NA,NA,NA
I'm tryna move to Iceland for personal reasons. Anyone got any advice?,5,NA,NA,NA
MARCO....,3,NA,NA,NA
How do the asian women feel about being fetishized and seen only as sex objects?,2,NA,NA,NA
Daily reminder Marijuana is legal,0,NA,NA,NA
"If you're majoring in sociology, history, media studies, or any liberal arts major, you don't deserve the title of Cal alumni. You have school on easy mode.",4,NA,NA,NA
Coming to stores this Fall!,0,NA,NA,NA
"Soy latte, polo shirts, Mumford & sons, organic food, square dancing, Harley Davidson, mayo, the tv show friends. Who am I?",6,NA,NA,NA
What in tar nation,0,NA,NA,NA
"No matter what people do to me or how pissed off I am, as soon as they start acting nice again I forgive them. I can't help it. Does this make me weak?",2,NA,NA,NA
Me whenever my friends have an idea,1,NA,NA,NA
Omg I heard the funniest joke ever!!! Some one said Donald trumpet  ahahahahahaahahahahahahabahahahabaababhahaha people are so genius. Funniest thing I've heard in my entire laugh. I'm dying,2,NA,NA,NA
President Donald J. Trump,4,NA,NA,NA
"I'm talking to an ex (it's his birthday), what random shit should I say?",12,NA,NA,NA
I kinda dated a EECS major ama,1,NA,NA,NA
Me,1,NA,NA,NA
"Bitch made republican cops all over highway 13 , and they're the angry republican chip on the shoulder type looking to bust a few ""liberals"" .look out",1,NA,NA,NA
My Tinder isn't working. If you're a man........My fucking arse!,1,NA,NA,NA
Feeling hungry,13,NA,NA,NA
San Francisco you are very hilly  walking you could be my entire leg day,3,NA,NA,NA
"That no tinder girl was like ""who says you're hot anyways? Drop a picture"". Here you go",0,NA,NA,NA
I dare someone to try and post a nude right now in this feed,4,NA,NA,NA
Some horny people in SanFran. Wish I could take this back with me,0,NA,NA,NA
Im a sweaty goat,4,NA,NA,NA
I hate starting memes. - IKSM,2,NA,NA,NA
One hour lyft ride * need to puke,2,NA,NA,NA
"What are some things that are part of ""white culture""? No racist comments. Just curious because some people say white people don't have a culture.",7,NA,NA,NA
Hehehe,3,NA,NA,NA
Would anyone be willing to help a guy from out of town pick up some wax? Like a gram?,4,NA,NA,NA
Can't watch TV comfortably because I can't find my glasses lol. Guess I'll just watch it blurry and pixelated.,0,NA,NA,NA
Can someone take my virginity tonight? Really don't want to go home without a cool story...,15,NA,NA,NA
Why is my lyft driver so cold? I'm stuck with her for 40 minutes,13,NA,NA,NA
Racist!,2,NA,NA,NA
"Men think banning abortion only effects women. Newsflash, you created that baby too and forget about buying tom ford or spending your money on fun things cuz that baby will need it",3,NA,NA,NA
Where the high school kids hangout?,4,NA,NA,NA
Homosexuality and incest are both between consenting adults. You're either for both or against both,44,NA,NA,NA
Racist democrats hate me because I'm a black republican,6,NA,NA,NA
Make America Gay Again,4,NA,NA,NA
I don't care that Trump has a Jewish daughter or a Slavic Immigrant Wife. Or that he received diversity awards for hiring people of color. Trump is literally Hitler! I'm a tolerant open minded liberal,5,NA,NA,NA
Breakfast at 3:33pm because I can.,0,NA,NA,NA
I don't think I'm gonna survive this summer without AC,0,NA,NA,NA
Liberals enjoy cuckold sessions,0,NA,NA,NA
"I'm being ghosted, but in the weirdest way. They keep talking to me out of the blue and saying we should hang out, but don't reply when I say something. If they don't want to hang out why bring it up",19,NA,NA,NA
Why do periods exist,7,NA,NA,NA
PAC man on google maps!!,1,NA,NA,NA
Fuck this liberal city,10,NA,NA,NA
Can someone tell me a good way to ask a girl for her number? I have class with her and we talk here and their but thats it,35,NA,NA,NA
Obi wan Never told you what happened to your father. He told me enough he told me you killed him! No Luke. I am your father,1,NA,NA,NA
Amerikkka,4,NA,NA,NA
Gay guys on here are obsessed with dopechick,20,NA,NA,NA
Hey ignorant conservatives you don't think gun laws work haha! So dumb Chicago has the most gun laws and the lowest gun crime rate in the US. So go back to your ignorant bigot cave!!!,6,NA,NA,NA
Yooo. I need new haters. The old ones are starting to like me,5,NA,NA,NA
"Fuck San Francisco's beat to shit roads. For the kind of money it costs to live around here, this should be the place with golden streets",3,NA,NA,NA
Anal wart :(,4,NA,NA,NA
Rape is unwanted sex + institutional power,5,NA,NA,NA
When people ask for proof that dopechick is homophobic but you can go look on any thread and see that she says they are nasty & covered in diseases,10,NA,NA,NA
Finally glad to see Kentucky protect children! Onto all the other states!,4,NA,NA,NA
Do you gays do ass to mouth?,5,NA,NA,NA
When you told a friend you'll be going over to his place but you're fucking lazy to even move so you ignore his texts,34,NA,NA,NA
Fuck I screwed up,1,NA,NA,NA
"How did we elect a racist, sexist bigot?",8,NA,NA,NA
Transgender surgery is expensive. Cis gender people should pay an extra tax to pay for our surgery.,3,NA,NA,NA
"Just donated my car to KQED , have you done your part lately ?",12,NA,NA,NA
We are all craving human connection and validation in life,2,NA,NA,NA
I come off a such a salty bitch cause  I hate talking to people,9,NA,NA,NA
I'm not gonna get married till I fuck 10 blue chip hookers,1,NA,NA,NA
Today is a hooker kind of daty,5,NA,NA,NA
I'm a sexy man.,4,NA,NA,NA
"Until the day we meet again, goodbye.",3,NA,NA,NA
How to be Asian: Play piano and do martial arts for six years. Problem solved.,1,NA,NA,NA
Can you tell that I give 0 fucks today?,15,NA,NA,NA
Just fixed a bug in 5 minutes after I took a bong rip but struggled for 3 hours with when I was sober,5,NA,NA,NA
Sausage party is a piece of shit movie but the animation was so cute.,17,NA,NA,NA
"I want a guy to suck, French kiss my clit and tongue fuck me while his friend gives him a bj",6,NA,NA,NA
"Do girls like geeky guys? Like, ACTUAL GEEKY guys?",16,NA,NA,NA
I can't digest bananas :(,3,NA,NA,NA
Eating espresso chocolate chip ice cream for lunch,1,NA,NA,NA
"One time, an old coworker said she accidentally had sex with the movers. I was like accidentally? You just fell on their dick or something? Or you mean you regret having sex with them?",6,NA,NA,NA
Which yakker do you hate the most but would like to meet anyway?,36,NA,NA,NA
"If I didn't have you guys, I'd have nobody at all.",2,NA,NA,NA
Anybody been to that Rum Bar called Smugglers Cove? Looks cool.,4,NA,NA,NA
"What an awesome ass day!! Now if only I could find the energy to finish the day, sleep and do it again tomorrow! :)",0,NA,NA,NA
I was searching for 55 gallon tubs of lube and this came up... That face slimmer looks kinda...,12,NA,NA,NA
Koreanism is the cutest girl in this herd - IKSM,3,NA,NA,NA
I want to meet a girl who's as needy as me.,11,NA,NA,NA
I touched your moms testicles -IKSM,4,NA,NA,NA
"I don't understand any of these ""cow"" yaks",3,NA,NA,NA
Anybody have good tutor recommendations for someone who never made it as a wise man?,3,NA,NA,NA
Can we have a Dick measuring contest on here? Biggest dicks of YY,10,NA,NA,NA
Anyone looking for a job?,12,NA,NA,NA
Guy who killed my best friend just got off on 5 years probation.,19,NA,NA,NA
That Chappelle special was not funny.,6,NA,NA,NA
"= ""I am compulsive and retarded.""",2,NA,NA,NA
What if your Tinder match has 4 Facebooks LOL,4,NA,NA,NA
"if a banana gets stuck in your anus, the worst that could happen is that it rots away.  correct?  asking for a friend.",5,NA,NA,NA
How do you make Holy water?  - Put water in a pot and boil the hell out of it,3,NA,NA,NA
you were abducted by aliens as an infant and then altered at the molecular level to resemble your captors.  this is why you feel out of place.,4,NA,NA,NA
i heard what you did for a klondike bar.      Call me.,2,NA,NA,NA
yknow what would be nice? less racism on here,6,NA,NA,NA
Can you tell that I give 0 fucks today?,15,NA,NA,NA
"Men think banning abortion only effects women. Newsflash, you created that baby too and forget about buying tom ford or spending your money on fun things cuz that baby will need it",3,NA,NA,NA
I dare someone to try and post a nude right now in this feed,4,NA,NA,NA
"One time, an old coworker said she accidentally had sex with the movers. I was like accidentally? You just fell on their dick or something? Or you mean you regret having sex with them?",6,NA,NA,NA
I love prank calling those Indian scammers who call and claim they are from the IRS haha too much with them.,3,NA,NA,NA
Guy who killed my best friend just got off on 5 years probation.,19,NA,NA,NA
tfw you got food poisoning and you can't trust a fart,3,NA,NA,NA
When a guy shows you an unwanted dick pic,1,NA,NA,NA
Why do periods exist,7,NA,NA,NA
How do you make Holy water?  - Put water in a pot and boil the hell out of it,3,NA,NA,NA
Breakfast at 3:33pm because I can.,0,NA,NA,NA
"What an awesome ass day!! Now if only I could find the energy to finish the day, sleep and do it again tomorrow! :)",0,NA,NA,NA
Money might not buy happiness but would you rather cry in your Benz or on the public bus?,8,NA,NA,NA
Sausage party is a piece of shit movie but the animation was so cute.,17,NA,NA,NA
"If I didn't have you guys, I'd have nobody at all.",2,NA,NA,NA
I come off a such a salty bitch cause  I hate talking to people,9,NA,NA,NA
"How did we elect a racist, sexist bigot?",8,NA,NA,NA
"Society: Be yourself. Also society: No, not like that.",2,NA,NA,NA
Just fixed a bug in 5 minutes after I took a bong rip but struggled for 3 hours with when I was sober,5,NA,NA,NA
I touched your moms testicles -IKSM,4,NA,NA,NA
I want to meet a girl who's as needy as me.,11,NA,NA,NA
Some horny people in SanFran. Wish I could take this back with me,0,NA,NA,NA
Hehehe,3,NA,NA,NA
trying so hard not to fart on the bart after drinking a giant cup of coffee...Jesus save my butt.,1,NA,NA,NA
"Do girls like geeky guys? Like, ACTUAL GEEKY guys?",16,NA,NA,NA
I was tryna get dick pics from this guy so I sent him Dick pics and he said that he got traumatized. So I sent him girl pics. Now I'm waiting for him to respond. Wish me luck.,23,NA,NA,NA
"I want a guy to suck, French kiss my clit and tongue fuck me while his friend gives him a bj",6,NA,NA,NA
I was searching for 55 gallon tubs of lube and this came up... That face slimmer looks kinda...,12,NA,NA,NA
Gay guys on here are obsessed with dopechick,20,NA,NA,NA
I hate starting memes. - IKSM,2,NA,NA,NA
Can't watch TV comfortably because I can't find my glasses lol. Guess I'll just watch it blurry and pixelated.,0,NA,NA,NA
I can't digest bananas :(,3,NA,NA,NA
"I don't understand any of these ""cow"" yaks",3,NA,NA,NA
Im a sweaty goat,4,NA,NA,NA
Can we have a Dick measuring contest on here? Biggest dicks of YY,10,NA,NA,NA
Feeling hungry,13,NA,NA,NA
What if your Tinder match has 4 Facebooks LOL,4,NA,NA,NA
There's no greater feeling than coffee and that first cigarette in the morning.,3,NA,NA,NA
Make America Gay Again,4,NA,NA,NA
Me,1,NA,NA,NA
Today is a hooker kind of daty,5,NA,NA,NA
Koreanism is the cutest girl in this herd - IKSM,3,NA,NA,NA
"Home remedy for fever, cold, flu, etc - cough syrup, ginger ale and saltine crackers.",12,NA,NA,NA
Do you gays do ass to mouth?,5,NA,NA,NA
Coming to stores this Fall!,0,NA,NA,NA
"No matter what people do to me or how pissed off I am, as soon as they start acting nice again I forgive them. I can't help it. Does this make me weak?",2,NA,NA,NA
Amerikkka,4,NA,NA,NA
Where the high school kids hangout?,4,NA,NA,NA
San Francisco you are very hilly  walking you could be my entire leg day,3,NA,NA,NA
"i love my dog more than my boyfriend--and he fucks me better, too.",2,NA,NA,NA
I'm not gonna get married till I fuck 10 blue chip hookers,1,NA,NA,NA
NO,1,NA,NA,NA
Anybody have good tutor recommendations for someone who never made it as a wise man?,3,NA,NA,NA
"I am looking for a good massage this morning, can anyone recommend a good place?",11,NA,NA,NA
"Just donated my car to KQED , have you done your part lately ?",12,NA,NA,NA
Daily reminder Marijuana is legal,0,NA,NA,NA
"See that cloud, it looks like a bubble a",1,NA,NA,NA
"What are some things that are part of ""white culture""? No racist comments. Just curious because some people say white people don't have a culture.",7,NA,NA,NA
Me whenever my friends have an idea,1,NA,NA,NA
I don't think I'm gonna survive this summer without AC,0,NA,NA,NA
Can someone tell me a good way to ask a girl for her number? I have class with her and we talk here and their but thats it,35,NA,NA,NA
Eating espresso chocolate chip ice cream for lunch,1,NA,NA,NA
you were abducted by aliens as an infant and then altered at the molecular level to resemble your captors.  this is why you feel out of place.,4,NA,NA,NA
We are all craving human connection and validation in life,2,NA,NA,NA
Anybody been to that Rum Bar called Smugglers Cove? Looks cool.,4,NA,NA,NA
Anal wart :(,4,NA,NA,NA
When you told a friend you'll be going over to his place but you're fucking lazy to even move so you ignore his texts,34,NA,NA,NA
Which yakker do you hate the most but would like to meet anyway?,36,NA,NA,NA
When your pet cow is your best friend. 6AM Blow cowclit and wake cowclit up 7AM Eat with cowclit 8AM Shower with cowclit 10PM Watch Cowhubdotcom with cowclit while rubbing cowclit,1,NA,NA,NA
How many of you have fucked someone from YY? How many of you have never fucked someone from YY? Who would you fuck?,97,NA,NA,NA
"Soy latte, polo shirts, Mumford & sons, organic food, square dancing, Harley Davidson, mayo, the tv show friends. Who am I?",6,NA,NA,NA
i heard what you did for a klondike bar.      Call me.,2,NA,NA,NA
"I'm being ghosted, but in the weirdest way. They keep talking to me out of the blue and saying we should hang out, but don't reply when I say something. If they don't want to hang out why bring it up",19,NA,NA,NA
Omg I heard the funniest joke ever!!! Some one said Donald trumpet  ahahahahahaahahahahahahabahahahabaababhahaha people are so genius. Funniest thing I've heard in my entire laugh. I'm dying,2,NA,NA,NA
Anyone looking for a job?,12,NA,NA,NA
How do the asian women feel about being fetishized and seen only as sex objects?,2,NA,NA,NA
My Tinder isn't working. If you're a man........My fucking arse!,1,NA,NA,NA
One hour lyft ride * need to puke,2,NA,NA,NA
Hide all Dopechick posts. Ignore all Dopechick posts. #TheMotto,4,NA,NA,NA
PAC man on google maps!!,1,NA,NA,NA
Why is my lyft driver so cold? I'm stuck with her for 40 minutes,13,NA,NA,NA
"I'm talking to an ex (it's his birthday), what random shit should I say?",12,NA,NA,NA
Can someone take my virginity tonight? Really don't want to go home without a cool story...,15,NA,NA,NA
"Bitch made republican cops all over highway 13 , and they're the angry republican chip on the shoulder type looking to bust a few ""liberals"" .look out",1,NA,NA,NA
I kinda dated a EECS major ama,1,NA,NA,NA
Fuck I screwed up,1,NA,NA,NA
"Until the day we meet again, goodbye.",3,NA,NA,NA
Racist!,2,NA,NA,NA
Fuck this liberal city,10,NA,NA,NA
When people ask for proof that dopechick is homophobic but you can go look on any thread and see that she says they are nasty & covered in diseases,10,NA,NA,NA
"That no tinder girl was like ""who says you're hot anyways? Drop a picture"". Here you go",0,NA,NA,NA
"Fuck San Francisco's beat to shit roads. For the kind of money it costs to live around here, this should be the place with golden streets",3,NA,NA,NA
Hey ignorant conservatives you don't think gun laws work haha! So dumb Chicago has the most gun laws and the lowest gun crime rate in the US. So go back to your ignorant bigot cave!!!,6,NA,NA,NA
What in tar nation,0,NA,NA,NA
Would anyone be willing to help a guy from out of town pick up some wax? Like a gram?,4,NA,NA,NA
I don't care that Trump has a Jewish daughter or a Slavic Immigrant Wife. Or that he received diversity awards for hiring people of color. Trump is literally Hitler! I'm a tolerant open minded liberal,5,NA,NA,NA
"If you're majoring in sociology, history, media studies, or any liberal arts major, you don't deserve the title of Cal alumni. You have school on easy mode.",4,NA,NA,NA
Homosexuality and incest are both between consenting adults. You're either for both or against both,44,NA,NA,NA
Prepare ur cowclitties           ({o}),2,NA,NA,NA
Gross incompetence is my middle name!,4,NA,NA,NA
"I feel like most of the posts on here can be sorted into 3 categories: horny, racist, drugs",4,NA,NA,NA
"If you've not chosen to be an organ donor, you shouldn't be eligible to receive an organ transplant.",6,NA,NA,NA
When u bump into a previous Lyft Driver out on the street:  sup,0,NA,NA,NA
"Well, japan town is way different than China town",4,NA,NA,NA
I am officially for CalExit.,22,NA,NA,NA
When you're probably gonna get ghosted and you have no idea what the f you done,6,NA,NA,NA
I'm horny so I'll just take a nap,5,NA,NA,NA
I need to stop looking at camel toes,6,NA,NA,NA
Planned Parenthood. Seriously can't even right now. Fuck the US government. I am a Californian.,11,NA,NA,NA
Yessss,3,NA,NA,NA
"Post anon, get upvotes. Post with handle, get downvotes. I see how it is guys.",3,NA,NA,NA
Who wants to go to mayday parade at the Fillmore on April 8,11,NA,NA,NA
I'll stop treating women like sex objects when they stop treating men like ATMs.,10,NA,NA,NA
do you ever feel like every single person you care about cares about someone else more,13,NA,NA,NA
